time,gsr
1463086663,578
1463086667,562
1463086672,595
1463086677,590
1463086682,588
1463086687,580
1463086692,591
1463086697,574
1463086702,580
1463086707,518
1463086712,542
1463086717,537
1463086722,552
1463086727,524
1463086732,541
1463086737,518
1463086742,538
1463086747,539
1463086752,521
1463086757,520
1463086762,500
1463086767,500
1463086771,527
1463086776,487
1463086781,515
1463086786,524
1463086791,530
1463086796,534
1463086801,526
1463086806,533
1463086811,539
1463086816,556
1463086821,561
1463086826,576
1463086831,562
1463086836,572
1463086841,577
1463086846,580
1463086851,564
1463086856,546
1463086861,557
1463086866,567
1463086871,566
1463086876,542
1463086882,572
1463086886,563
1463086891,541
1463086896,569
1463086901,566
1463086906,571
1463086911,575
1463086916,575
1463086921,572
1463086926,565
1463086931,573
1463086936,578
1463086941,579
1463086946,579
1463086951,580
1463086956,529
1463086961,569
1463086966,570
1463086971,541
1463086976,527
1463086981,546
1463086986,552
1463086991,557
1463086996,560
1463087001,572
1463087006,574
1463087011,579
1463087016,583
1463087021,586
1463087025,591
1463087030,595
1463087035,600
1463087040,603
1463087045,608
1463087050,611
1463087055,616
1463087060,619
1463087065,617
1463087070,615
1463087075,596
1463087080,612
1463087085,618
1463087090,625
1463087095,630
1463087100,635
1463087105,637
1463087110,684
1463087115,611
1463087120,612
1463087125,579
1463087130,618
1463087135,627
1463087140,629
1463087145,631
1463087150,615
1463087155,637
1463087160,643
1463087165,633
1463087170,646
1463087175,649
1463087180,639
1463087185,650
1463087190,654
1463087195,656
1463087200,643
1463087205,655
1463087210,661
1463087215,658
1463087220,657
1463087225,664
1463087230,669
1463087235,673
1463087240,640
1463087245,656
1463087250,663
1463087255,667
1463087260,668
1463087265,658
1463087270,666
1463087275,664
1463087279,674
1463087284,675
1463087289,678
1463087295,670
1463087299,676
1463087304,662
1463087309,659
1463087314,669
1463087319,663
1463087324,654
1463087329,668
1463087334,671
1463087339,673
1463087344,661
1463087349,678
1463087354,687
1463087359,649
1463087364,569
1463087369,602
1463087374,624
1463087379,637
1463087384,624
1463087389,638
1463087394,641
1463087399,643
1463087404,625
1463087409,646
1463087414,653
1463087419,616
1463087424,649
1463087429,652
1463087434,654
1463087439,641
1463087444,645
1463087449,662
1463087454,623
1463087459,613
1463087464,631
1463087469,636
1463087474,627
1463087479,642
1463087484,646
1463087489,631
1463087494,630
1463087499,646
1463087504,635
1463087509,615
1463087514,643
1463087519,646
1463087524,628
1463087529,637
1463087533,643
1463087538,654
1463087543,652
1463087548,649
1463087553,631
1463087558,658
1463087563,664
1463087568,654
1463087573,618
1463087578,646
1463087583,658
1463087588,667
1463087593,671
1463087598,667
1463087603,678
1463087608,683
1463087613,688
1463087618,681
1463087623,691
1463087628,705
1463087633,688
1463087638,705
1463087643,696
1463087648,640
1463087653,638
1463087658,668
1463087663,677
1463087668,662
1463087673,680
1463087678,637
1463087683,661
1463087688,662
1463087693,670
1463087698,630
1463087703,658
1463087708,668
1463087713,658
1463087718,657
1463087723,674
1463087728,663
1463087733,673
1463087738,683
1463087743,687
1463087748,691
1463087753,696
1463087758,700
1463087763,705
1463087768,708
1463087773,706
1463087778,682
1463087783,715
1463087787,732
1463087792,741
1463087797,746
1463087802,751
1463087807,757
1463087812,760
1463087817,765
1463087822,770
1463087827,773
1463087832,777
1463087837,781
1463087842,785
1463087847,789
1463087852,713
1463087857,693
1463087862,702
1463087867,719
1463087872,728
1463087877,727
1463087882,727
1463087887,727
1463087892,731
1463087897,740
1463087902,748
1463087907,708
1463087912,752
1463087917,760
1463087922,749
1463087927,753
1463087932,757
1463087937,762
1463087942,764
1463087947,742
1463087952,735
1463087957,752
1463087962,765
1463087967,753
1463087972,768
1463087977,773
1463087982,777
1463087987,752
1463087992,760
1463087997,748
1463088002,765
1463088007,774
1463088012,780
1463088017,784
1463088022,787
1463088027,787
1463088032,762
1463088037,765
1463088042,753
1463088046,767
1463088051,752
1463088056,772
1463088061,745
1463088066,769
1463088071,768
1463088076,754
1463088081,786
1463088086,783
1463088091,751
1463088096,778
1463088101,781
1463088106,781
1463088111,761
1463088116,783
1463088121,789
1463088126,770
1463088131,644
1463088136,665
1463088141,655
1463088146,691
1463088151,700
1463088156,717
1463088161,718
1463088166,706
1463088171,689
1463088176,671
1463088181,686
1463088186,678
1463088191,668
1463088196,697
1463088201,658
1463088206,693
1463088211,624
1463088216,673
1463088221,658
1463088226,658
1463088231,669
1463088236,680
1463088241,667
1463088246,680
1463088251,686
1463088256,684
1463088261,694
1463088266,681
1463088271,657
1463088276,674
1463088281,686
1463088286,670
1463088291,692
1463088296,699
1463088300,696
1463088305,680
1463088310,700
1463088315,709
1463088320,715
1463088325,712
1463088330,717
1463088335,724
1463088340,730
1463088345,734
1463088350,729
1463088355,738
1463088360,719
1463088365,733
1463088370,740
1463088375,744
1463088380,751
1463088385,754
1463088390,753
1463088395,757
1463088400,723
1463088405,721
1463088410,723
1463088415,682
1463088420,678
1463088425,694
1463088430,673
1463088435,669
1463088440,687
1463088445,672
1463088450,693
1463088455,698
1463088460,703
1463088465,708
1463088470,707
1463088475,681
1463088480,685
1463088485,707
1463088490,713
1463088495,721
1463088500,726
1463088505,725
1463088510,730
1463088515,740
1463088520,723
1463088525,727
1463088530,716
1463088535,716
1463088540,721
1463088545,734
1463088550,738
1463088554,742
1463088559,728
1463088564,745
1463088569,750
1463088574,751
1463088579,754
1463088584,757
1463088589,762
1463088594,766
1463088599,769
